valueSetId,valueSetName,searchTerm,vocabularyId
162.autism-spectrum-dx,Autism Spectrum Diagnoses,^299\.0.*,ICD9CM
162.autism-spectrum-dx,Autism Spectrum Diagnoses,^299\.8.*,ICD9CM
162.autism-spectrum-dx,Autism Spectrum Diagnoses,^299\.9.*,ICD9CM
162.autism-exclusion-dx,Autism Exclusion Diagnoses,299.1,ICD9CM
162.autism-exclusion-dx,Autism Exclusion Diagnoses,^295.*,ICD9CM
162.autism-exclusion-dx,Autism Exclusion Diagnoses,330.8,ICD9CM
162.autism-exclusion-dx,Autism Exclusion Diagnoses,759.5,ICD9CM
162.autism-exclusion-dx,Autism Exclusion Diagnoses,759.83,ICD9CM
